,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
233,25,2,0,3,0,6,2,,,2,,,1.0,10.0,0.0,9.0
234,26,4,0,2,0,3,4,,,1,,,10.0,7.0,0.0,3.0
235,27,2,0,2,0,4,3,,,2,,,3.0,11.0,0.0,8.0
236,28,2,0,4,0,5,4,,,2,,,2.0,6.0,1.0,4.0
237,29,1,0,1,0,8,8,,,6,,,3.0,3.0,0.0,1.0
238,30,0,0,1,0,3,1,,,1,,,3.0,1.0,0.0,0.0
239,31,2,0,6,0,8,2,,,3,,,2.0,3.0,0.0,2.0
240,32,1,0,0,0,2,1,,,0,,,3.0,4.0,1.0,3.0
241,33,4,0,2,0,5,7,,,4,,,1.0,2.0,0.0,1.0
242,34,2,0,0,0,1,4,,,2,,,1.0,1.0,0.0,0.0
243,35,0,0,3,0,5,9,,,4,,,2.0,2.0,0.0,2.0
244,36,0,0,2,0,2,3,,,1,,,0.0,0.0,0.0,0.0
245,37,1,0,1,0,2,3,,,2,,,0.0,3.0,0.0,3.0
246,38,3,0,0,0,4,2,,,3,,,0.0,0.0,0.0,0.0
247,39,0,0,1,0,3,4,,,4,,,3.0,2.0,0.0,1.0
248,40,0,0,1,0,2,5,,,2,,,2.0,1.0,1.0,0.0
249,41,2,0,1,0,4,5,,,4,,,2.0,1.0,0.0,0.0
250,42,0,0,3,0,6,2,,,3,,,0.0,1.0,0.0,1.0
251,43,0,1,1,0,7,2,,,4,,,2.0,3.0,0.0,2.0
252,44,0,0,4,0,12,5,,,6,,,1.0,4.0,0.0,4.0
253,45,4,0,3,0,7,4,,,2,,,0.0,4.0,0.0,2.0
254,46,0,0,1,0,6,4,,,2,,,0.0,1.0,0.0,1.0
255,47,1,0,2,0,6,4,,,3,,,1.0,1.0,0.0,1.0
256,48,1,0,2,0,4,1,,,0,,,0.0,3.0,0.0,2.0
257,49,0,0,3,0,4,4,,,3,,,1.0,4.0,1.0,1.0
258,50,1,0,3,0,5,4,,,0,,,1.0,1.0,0.0,1.0
259,51,0,0,2,0,4,5,,,4,,,2.0,3.0,0.0,2.0
260,52,1,1,0,0,3,1,,,2,,,3.0,1.0,1.0,1.0
