,Edad_y_Tipo_de_Atención,IRA_Alta_(J00-J06),Influenza_(J09-J11),Neumonía_(J12-J18),Bronquitis/bronquiolitis_aguda_(J20-J21),Crisis_obstructiva_bronquial_(J40-J46),"Otra_causa_respiratoria_(J22,_J30-J39,_J47,_J60-J98)","Covid-19,_Virus_no_identificado_U07.2","Covid-19,_Virus_identificado_U07.1",CAUSAS_SISTEMA_RESPIRATORIO,"-_COVID-19,_VIRUS_NO_IDENTIFICADO_U07.2","-_COVID-19,_VIRUS_IDENTIFICADO_U07.1",COVID_19_Sospechoso_(U07.2),COVID_19_Confirmado_(U07.1),-_COVID_19_SOSPECHOSO_(U07.2),-_COVID_19_CONFIRMADO_(U07.1)
231,23,8,0,0,2,0,0,,,0,,,0.0,1.0,0.0,1.0
232,24,14,3,0,0,1,2,,,1,,,5.0,0.0,0.0,0.0
233,25,18,0,0,5,1,0,,,0,,,2.0,1.0,0.0,0.0
234,26,14,0,0,5,1,2,,,0,,,7.0,0.0,0.0,0.0
235,27,7,0,0,1,0,0,,,0,,,0.0,0.0,0.0,0.0
236,28,12,0,1,1,0,0,,,1,,,1.0,0.0,0.0,0.0
237,29,5,0,0,2,0,0,,,0,,,2.0,0.0,0.0,0.0
238,30,10,0,0,1,0,1,,,0,,,1.0,1.0,0.0,0.0
239,31,10,0,0,0,0,0,,,0,,,0.0,0.0,0.0,0.0
240,32,6,0,0,1,0,0,,,0,,,1.0,0.0,0.0,0.0
241,33,11,0,0,2,0,0,,,0,,,0.0,0.0,0.0,0.0
242,34,4,0,0,1,0,1,,,0,,,2.0,0.0,0.0,0.0
243,35,12,2,0,3,1,1,,,1,,,1.0,0.0,0.0,0.0
244,36,4,0,0,3,0,0,,,0,,,1.0,0.0,1.0,0.0
245,37,6,0,0,0,0,0,,,0,,,1.0,0.0,0.0,0.0
246,38,11,0,1,2,0,0,,,1,,,1.0,0.0,0.0,0.0
247,39,5,0,0,2,1,1,,,0,,,0.0,0.0,0.0,0.0
248,40,11,0,0,3,1,1,,,0,,,0.0,0.0,0.0,0.0
249,41,7,0,0,5,0,0,,,0,,,2.0,0.0,0.0,0.0
250,42,13,0,0,5,0,0,,,0,,,2.0,0.0,0.0,0.0
251,43,12,0,0,3,1,0,,,0,,,4.0,0.0,0.0,0.0
252,44,14,0,0,4,3,0,,,1,,,0.0,0.0,0.0,0.0
253,45,13,0,0,3,0,0,,,0,,,1.0,0.0,0.0,0.0
254,46,13,1,0,4,0,1,,,0,,,0.0,0.0,0.0,0.0
255,47,9,1,0,2,2,3,,,0,,,0.0,0.0,0.0,0.0
256,48,12,2,0,7,0,2,,,1,,,2.0,0.0,0.0,0.0
257,49,16,0,0,0,0,2,,,0,,,1.0,0.0,0.0,0.0
258,50,16,0,0,4,1,1,,,0,,,0.0,0.0,0.0,0.0
259,51,12,1,0,1,1,0,,,0,,,0.0,2.0,0.0,1.0
260,52,12,1,0,0,0,2,,,0,,,1.0,0.0,0.0,0.0
