,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
9,"frozenset({'IRASu_MB', 'TM'})",frozenset({'TmaxMA'}),0.25,0.45,0.225,0.9,2.0,0.1125,5.500000000000002
12,"frozenset({'IRASu_MB', 'TminM'})",frozenset({'TmaxMA'}),0.25,0.45,0.225,0.9,2.0,0.1125,5.500000000000002
139,"frozenset({'COVIDhB', 'TM'})","frozenset({'COVIDuB', 'INFu_B'})",0.25,0.45,0.225,0.9,2.0,0.1125,5.500000000000002
141,"frozenset({'TM', 'COVIDuB'})","frozenset({'COVIDhB', 'INFu_B'})",0.25,0.45,0.225,0.9,2.0,0.1125,5.500000000000002
256,"frozenset({'IRASu_MB', 'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'TM'})",0.225,0.25,0.2,0.888888888888889,3.555555555555556,0.14375000000000002,6.7500000000000036
257,"frozenset({'IRASu_MB', 'COVIDhB', 'TminM'})","frozenset({'TM', 'COVIDuB'})",0.225,0.25,0.2,0.888888888888889,3.555555555555556,0.14375000000000002,6.7500000000000036
275,"frozenset({'IRASu_MB', 'TmaxMA', 'COVIDuB'})","frozenset({'COVIDhB', 'TminM'})",0.225,0.25,0.2,0.888888888888889,3.555555555555556,0.14375000000000002,6.7500000000000036
277,"frozenset({'IRASu_MB', 'COVIDhB', 'TmaxMA'})","frozenset({'TminM', 'COVIDuB'})",0.225,0.25,0.2,0.888888888888889,3.555555555555556,0.14375000000000002,6.7500000000000036
309,"frozenset({'INFu_B', 'TM', 'COVIDuB'})","frozenset({'COVIDhB', 'TminM'})",0.225,0.25,0.2,0.888888888888889,3.555555555555556,0.14375000000000002,6.7500000000000036
310,"frozenset({'COVIDhB', 'TM', 'INFu_B'})","frozenset({'TminM', 'COVIDuB'})",0.225,0.25,0.2,0.888888888888889,3.555555555555556,0.14375000000000002,6.7500000000000036
274,"frozenset({'IRASu_MB', 'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'TmaxMA'})",0.225,0.3,0.2,0.888888888888889,2.9629629629629632,0.1325,6.300000000000003
276,"frozenset({'IRASu_MB', 'COVIDhB', 'TminM'})","frozenset({'TmaxMA', 'COVIDuB'})",0.225,0.3,0.2,0.888888888888889,2.9629629629629632,0.1325,6.300000000000003
98,"frozenset({'IRASu_MB', 'TmaxMA', 'COVIDuB'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
115,"frozenset({'COVIDhB', 'TmaxMA', 'IRASu_MB'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
123,"frozenset({'IRASu_MB', 'TmaxMA', 'TM'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
149,"frozenset({'COVIDuB', 'TM', 'INFu_B'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
163,"frozenset({'COVIDhB', 'TM', 'INFu_B'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
272,"frozenset({'IRASu_MB', 'COVIDhB', 'TmaxMA', 'COVIDuB'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
306,"frozenset({'COVIDhB', 'INFu_B', 'TM', 'COVIDuB'})",frozenset({'TminM'}),0.225,0.375,0.2,0.888888888888889,2.3703703703703707,0.115625,5.6250000000000036
90,"frozenset({'IRASu_MB', 'TminM', 'COVIDuB'})",frozenset({'TM'}),0.225,0.4,0.2,0.888888888888889,2.2222222222222223,0.11,5.400000000000003
107,"frozenset({'COVIDhB', 'TminM', 'IRASu_MB'})",frozenset({'TM'}),0.225,0.4,0.2,0.888888888888889,2.2222222222222223,0.11,5.400000000000003
122,"frozenset({'IRASu_MB', 'TminM', 'TmaxMA'})",frozenset({'TM'}),0.225,0.4,0.2,0.888888888888889,2.2222222222222223,0.11,5.400000000000003
226,"frozenset({'TminM', 'TmaxMA', 'MP10MB'})",frozenset({'TM'}),0.225,0.4,0.2,0.888888888888889,2.2222222222222223,0.11,5.400000000000003
253,"frozenset({'IRASu_MB', 'COVIDhB', 'TminM', 'COVIDuB'})",frozenset({'TM'}),0.225,0.4,0.2,0.888888888888889,2.2222222222222223,0.11,5.400000000000003
83,"frozenset({'OCRuM', 'MP10MB'})","frozenset({'IRASu_MB', 'COVIDuB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
85,"frozenset({'OCRuM', 'MP10MB'})","frozenset({'COVIDhB', 'IRASu_MB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
245,"frozenset({'MP10MB', 'OCRuM', 'COVIDuB'})","frozenset({'IRASu_MB', 'COVIDhB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
246,"frozenset({'COVIDhB', 'OCRuM', 'MP10MB'})","frozenset({'IRASu_MB', 'COVIDuB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
251,"frozenset({'OCRuM', 'MP10MB'})","frozenset({'IRASu_MB', 'COVIDhB', 'COVIDuB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
259,"frozenset({'TminM', 'TM', 'COVIDuB'})","frozenset({'IRASu_MB', 'COVIDhB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
260,"frozenset({'COVIDhB', 'TminM', 'TM'})","frozenset({'IRASu_MB', 'COVIDuB'})",0.225,0.425,0.2,0.888888888888889,2.0915032679738563,0.10437500000000001,5.1750000000000025
3,frozenset({'TM'}),frozenset({'TminM'}),0.4,0.375,0.35,0.8749999999999999,2.333333333333333,0.19999999999999996,4.999999999999996
185,"frozenset({'TminM', 'INFu_B'})","frozenset({'TM', 'MP10MB'})",0.275,0.25,0.225,0.8181818181818181,3.2727272727272725,0.15625,4.124999999999998
181,"frozenset({'TminM', 'MP10MB'})","frozenset({'TM', 'INFu_B'})",0.275,0.3,0.225,0.8181818181818181,2.727272727272727,0.14250000000000002,3.8499999999999983
173,"frozenset({'TminM', 'INFu_B'})","frozenset({'TmaxMA', 'TM'})",0.275,0.325,0.225,0.8181818181818181,2.517482517482517,0.135625,3.712499999999999
197,"frozenset({'NNIAu_M', 'TM'})","frozenset({'TminM', 'TmaxMA'})",0.275,0.325,0.225,0.8181818181818181,2.517482517482517,0.135625,3.712499999999999
13,"frozenset({'IRASu_MB', 'TmaxMA'})",frozenset({'TminM'}),0.275,0.375,0.225,0.8181818181818181,2.1818181818181817,0.121875,3.4374999999999987
33,"frozenset({'NNIAu_M', 'TM'})",frozenset({'TminM'}),0.275,0.375,0.225,0.8181818181818181,2.1818181818181817,0.121875,3.4374999999999987
61,"frozenset({'TM', 'RM'})",frozenset({'TminM'}),0.275,0.375,0.225,0.8181818181818181,2.1818181818181817,0.121875,3.4374999999999987
8,"frozenset({'IRASu_MB', 'TmaxMA'})",frozenset({'TM'}),0.275,0.4,0.225,0.8181818181818181,2.045454545454545,0.11499999999999999,3.299999999999999
29,"frozenset({'TminM', 'INFu_B'})",frozenset({'MP10MB'}),0.275,0.4,0.225,0.8181818181818181,2.045454545454545,0.11499999999999999,3.299999999999999
180,"frozenset({'TminM', 'TM', 'INFu_B'})",frozenset({'MP10MB'}),0.275,0.4,0.225,0.8181818181818181,2.045454545454545,0.11499999999999999,3.299999999999999
268,"frozenset({'TminM', 'COVIDuB'})","frozenset({'IRASu_MB', 'COVIDhB', 'TM'})",0.25,0.2,0.2,0.8,4.0,0.15000000000000002,4.000000000000001
269,"frozenset({'COVIDhB', 'TminM'})","frozenset({'IRASu_MB', 'TM', 'COVIDuB'})",0.25,0.2,0.2,0.8,4.0,0.15000000000000002,4.000000000000001
314,"frozenset({'TM', 'COVIDuB'})","frozenset({'COVIDhB', 'TminM', 'INFu_B'})",0.25,0.2,0.2,0.8,4.0,0.15000000000000002,4.000000000000001
315,"frozenset({'COVIDhB', 'TM'})","frozenset({'TminM', 'INFu_B', 'COVIDuB'})",0.25,0.2,0.2,0.8,4.0,0.15000000000000002,4.000000000000001
266,"frozenset({'TM', 'COVIDuB'})","frozenset({'IRASu_MB', 'COVIDhB', 'TminM'})",0.25,0.225,0.2,0.8,3.555555555555556,0.14375000000000002,3.875000000000001
267,"frozenset({'COVIDhB', 'TM'})","frozenset({'IRASu_MB', 'TminM', 'COVIDuB'})",0.25,0.225,0.2,0.8,3.555555555555556,0.14375000000000002,3.875000000000001
286,"frozenset({'TminM', 'COVIDuB'})","frozenset({'IRASu_MB', 'COVIDhB', 'TmaxMA'})",0.25,0.225,0.2,0.8,3.555555555555556,0.14375000000000002,3.875000000000001
288,"frozenset({'COVIDhB', 'TminM'})","frozenset({'IRASu_MB', 'TmaxMA', 'COVIDuB'})",0.25,0.225,0.2,0.8,3.555555555555556,0.14375000000000002,3.875000000000001
317,"frozenset({'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'TM', 'INFu_B'})",0.25,0.225,0.2,0.8,3.555555555555556,0.14375000000000002,3.875000000000001
318,"frozenset({'COVIDhB', 'TminM'})","frozenset({'INFu_B', 'TM', 'COVIDuB'})",0.25,0.225,0.2,0.8,3.555555555555556,0.14375000000000002,3.875000000000001
92,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'TM', 'COVIDuB'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
93,"frozenset({'IRASu_MB', 'TM'})","frozenset({'TminM', 'COVIDuB'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
94,"frozenset({'TminM', 'COVIDuB'})","frozenset({'IRASu_MB', 'TM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
95,"frozenset({'TM', 'COVIDuB'})","frozenset({'IRASu_MB', 'TminM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
108,"frozenset({'COVIDhB', 'TM'})","frozenset({'IRASu_MB', 'TminM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
109,"frozenset({'COVIDhB', 'TminM'})","frozenset({'IRASu_MB', 'TM'})",0.25,0.25,0.2,0.8,3.2,0.1375,3.750000000000001
